"","region","gridX","gridY","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"70","DYGD",6,8,"DYGD","Cradley and Wollescote","Dudley East","DYSG","Dudley","DY","Dudley","13122","5274",-2.097909,52.455422
"71","DYGE",3,5,"DYGE","Gornal","Dudley East","DYSG","Dudley","DY","Dudley","13043","5731",-2.132291,52.520642
"72","DYGF",8,8,"DYGF","Halesowen North","Dudley East","DYSG","Dudley","DY","Dudley","12252","5158",-2.032031,52.466733
"73","DYGG",8,9,"DYGG","Halesowen South","Dudley East","DYSG","Dudley","DY","Dudley","12246","5134",-2.031285,52.44637
"74","DYGH",7,9,"DYGH","Hayley Green and Cradley South","Dudley East","DYSG","Dudley","DY","Dudley","11792","4875",-2.076282,52.442975
"75","DYGJ",5,6,"DYGJ","Netherton, Woodside and St Andrew's","Dudley East","DYSG","Dudley","DY","Dudley","14665","6041",-2.093121,52.492454
"76","DYGK",5,7,"DYGK","Quarry Bank and Dudley Wood","Dudley East","DYSG","Dudley","DY","Dudley","13765","5501",-2.095612,52.476004
"77","DYGL",4,5,"DYGL","Sedgley","Dudley East","DYSG","Dudley","DY","Dudley","11993","5043",-2.124442,52.544265
"78","DYGM",4,6,"DYGM","St James's","Dudley East","DYSG","Dudley","DY","Dudley","13580","5874",-2.106028,52.509904
"79","DYGN",6,6,"DYGN","St Thomas's","Dudley East","DYSG","Dudley","DY","Dudley","14453","5482",-2.0751,52.504356
"80","DYGP",5,5,"DYGP","Upper Gornal and Woodsetton","Dudley East","DYSG","Dudley","DY","Dudley","13275","5436",-2.104986,52.532879
"81","DYHA",3,7,"DYHA","Amblecote","Dudley West","DYSH","Dudley","DY","Dudley","13341","5406",-2.136803,52.468605
"82","DYHB",4,7,"DYHB","Brierley Hill","Dudley West","DYSH","Dudley","DY","Dudley","14008","6112",-2.130302,52.479242
"83","DYHC",3,6,"DYHC","Brockmoor and Pensnett","Dudley West","DYSH","Dudley","DY","Dudley","12925","5252",-2.133892,52.49864
"84","DYHD",2,5,"DYHD","Kingswinford North and Wall Heath","Dudley West","DYSH","Dudley","DY","Dudley","12493","5214",-2.169953,52.504967
"85","DYHE",2,6,"DYHE","Kingswinford South","Dudley West","DYSH","Dudley","DY","Dudley","12697","5216",-2.162374,52.492193
"86","DYHF",5,8,"DYHF","Lye and Stourbridge North","Dudley West","DYSH","Dudley","DY","Dudley","12625","5270",-2.123658,52.459975
"87","DYHG",3,8,"DYHG","Norton","Dudley West","DYSH","Dudley","DY","Dudley","11841","5017",-2.157287,52.442003
"88","DYHH",4,8,"DYHH","Pedmore and Stourbridge East","Dudley West","DYSH","Dudley","DY","Dudley","12177","5145",-2.128582,52.441575
"89","DYHJ",2,8,"DYHJ","Wollaston and Stourbridge Town","Dudley West","DYSH","Dudley","DY","Dudley","13128","5838",-2.158513,52.459805
"90","DYHK",2,7,"DYHK","Wordsley","Dudley West","DYSH","Dudley","DY","Dudley","12598","5228",-2.158421,52.4818
"91","SHAA",22,9,"SHAA","Bickenhill","Meriden","SHSA","Solihull","SH","Solihull","12342","5090",-1.717516,52.4289
"92","SHAB",21,9,"SHAB","Birmingham International Airport","Meriden","SHSA","Solihull","SH","Solihull","0","0",-1.745137,52.453083
"93","SHAC",18,11,"SHAC","Blythe","Meriden","SHSA","Solihull","SH","Solihull","13270","5454",-1.824392,52.380083
"94","SHAD",20,7,"SHAD","Castle Bromwich","Meriden","SHSA","Solihull","SH","Solihull","11217","4708",-1.773193,52.50673
"95","SHAE",22,7,"SHAE","Chelmsley Wood","Meriden","SHSA","Solihull","SH","Solihull","12553","5617",-1.732408,52.480306
"96","SHAF",20,10,"SHAF","Dorridge and Hockley Heath","Meriden","SHSA","Solihull","SH","Solihull","11357","4476",-1.768475,52.371006
"97","SHAH",21,8,"SHAH","Kingshurst and Fordbridge","Meriden","SHSA","Solihull","SH","Solihull","12682","5430",-1.751253,52.485085
"98","SHAJ",21,10,"SHAJ","Knowle","Meriden","SHSA","Solihull","SH","Solihull","10159","4264",-1.726605,52.38217
"99","SHAK",22,10,"SHAK","Meriden","Meriden","SHSA","Solihull","SH","Solihull","11795","4841",-1.644198,52.406114
"100","SHAL",22,8,"SHAL","NEC","Meriden","SHSA","Solihull","SH","Solihull","0","0",-1.719023,52.453587
"101","SHAM",21,7,"SHAM","Smith's Wood","Meriden","SHSA","Solihull","SH","Solihull","12446","5195",-1.747966,52.501472
"102","SHBA",20,9,"SHBA","Elmdon","Solihull","SHSB","Solihull","SH","Solihull","12079","5163",-1.76804,52.438973
"103","SHBB",18,8,"SHBB","Lyndon","Solihull","SHSB","Solihull","SH","Solihull","13293","5511",-1.794056,52.445494
"104","SHBC",18,9,"SHBC","Olton","Solihull","SHSB","Solihull","SH","Solihull","12679","5281",-1.808818,52.431156
"105","SHBD",17,10,"SHBD","Shirley East","Solihull","SHSB","Solihull","SH","Solihull","11462","4591",-1.817922,52.412736
"106","SHBE",18,10,"SHBE","Shirley South","Solihull","SHSB","Solihull","SH","Solihull","12410","5190",-1.81667,52.39875
"107","SHBF",15,11,"SHBF","Shirley West","Solihull","SHSB","Solihull","SH","Solihull","11943","5038",-1.844054,52.408183
"108","SHBG",19,9,"SHBG","Silhill","Solihull","SHSB","Solihull","SH","Solihull","12008","5083",-1.779074,52.422096
"109","SHBH",19,10,"SHBH","St Alphege","Solihull","SHSB","Solihull","SH","Solihull","12983","5125",-1.785057,52.406989
"110","SWAK",11,4,"SWAK","Charlemont with Grove Vale","Sandwell North","SWSA","Sandwell","SW","Sandwell","12134","5049",-1.969572,52.543855
"111","SWAL",10,4,"SWAL","Friar Park","Sandwell North","SWSA","Sandwell","SW","Sandwell","12542","4921",-1.993624,52.555263
"112","SWAM",12,3,"SWAM","Great Barr with Yew Tree","Sandwell North","SWSA","Sandwell","SW","Sandwell","12531","4911",-1.947343,52.553886
"113","SWAN",8,5,"SWAN","Great Bridge","Sandwell North","SWSA","Sandwell","SW","Sandwell","13152","5176",-2.039817,52.530785
"114","SWAP",9,6,"SWAP","Greets Green and Lyng","Sandwell North","SWSA","Sandwell","SW","Sandwell","11815","4472",-2.010157,52.517133
"115","SWAQ",10,5,"SWAQ","Hateley Heath","Sandwell North","SWSA","Sandwell","SW","Sandwell","14086","5347",-1.995874,52.537507
"116","SWAR",12,4,"SWAR","Newton","Sandwell North","SWSA","Sandwell","SW","Sandwell","11567","4755",-1.947034,52.537869
"117","SWAS",7,4,"SWAS","Princes End","Sandwell North","SWSA","Sandwell","SW","Sandwell","12846","5202",-2.057197,52.543846
"118","SWAT",7,5,"SWAT","Tipton Green","Sandwell North","SWSA","Sandwell","SW","Sandwell","12887","5160",-2.064933,52.527628
"119","SWAU",9,4,"SWAU","Wednesbury North","Sandwell North","SWSA","Sandwell","SW","Sandwell","12536","4834",-2.020641,52.558602
"120","SWAV",9,5,"SWAV","Wednesbury South","Sandwell North","SWSA","Sandwell","SW","Sandwell","12573","5037",-2.021084,52.541701
"121","SWAW",11,5,"SWAW","West Bromwich Central","Sandwell North","SWSA","Sandwell","SW","Sandwell","13317","5366",-1.979891,52.521498
"122","SWBE",10,8,"SWBE","Abbey","Sandwell South","SWSB","Sandwell","SW","Sandwell","11752","5053",-1.978252,52.475067
"123","SWBF",8,7,"SWBF","Blackheath","Sandwell South","SWSB","Sandwell","SW","Sandwell","12324","5140",-2.042233,52.478432
"124","SWBG",10,7,"SWBG","Bristnall","Sandwell South","SWSB","Sandwell","SW","Sandwell","12122","4730",-1.998426,52.48274
"125","SWBH",6,7,"SWBH","Cradley Heath and Old Hill","Sandwell South","SWSB","Sandwell","SW","Sandwell","13362","5666",-2.07107,52.469874
"126","SWBJ",9,7,"SWBJ","Langley","Sandwell South","SWSB","Sandwell","SW","Sandwell","12615","5353",-2.021008,52.48699
"127","SWBK",9,8,"SWBK","Old Warley","Sandwell South","SWSB","Sandwell","SW","Sandwell","11814","4908",-2.002006,52.469643
"128","SWBL",8,6,"SWBL","Oldbury","Sandwell South","SWSB","Sandwell","SW","Sandwell","13618","5358",-2.027601,52.508115
"129","SWBM",7,7,"SWBM","Rowley","Sandwell South","SWSB","Sandwell","SW","Sandwell","12233","4921",-2.054691,52.489357
"130","SWBN",11,7,"SWBN","Smethwick","Sandwell South","SWSB","Sandwell","SW","Sandwell","13670","5192",-1.979861,52.489311
"131","SWBP",11,6,"SWBP","Soho and Victoria","Sandwell South","SWSB","Sandwell","SW","Sandwell","15540","5367",-1.957179,52.49208
"132","SWBQ",10,6,"SWBQ","St Paul's","Sandwell South","SWSB","Sandwell","SW","Sandwell","14453","4671",-1.982039,52.500966
"133","SWBR",7,6,"SWBR","Tividale","Sandwell South","SWSB","Sandwell","SW","Sandwell","12575","4907",-2.046325,52.503311
"134","WSFA",10,2,"WSFA","Birchills Leamore","Walsall Central","WSSF","Walsall","WS","Walsall","15163","6165",-2.003586,52.599934
"135","WSFB",10,1,"WSFB","Blakenall","Walsall Central","WSSF","Walsall","WS","Walsall","13532","5054",-1.980787,52.606839
"136","WSFC",9,0,"WSFC","Bloxwich East","Walsall Central","WSSF","Walsall","WS","Walsall","12198","5038",-1.995001,52.624473
"137","WSFD",9,1,"WSFD","Bloxwich West","Walsall Central","WSSF","Walsall","WS","Walsall","13098","5636",-2.016541,52.621008
"138","WSFE",11,3,"WSFE","Paddock","Walsall Central","WSSF","Walsall","WS","Walsall","12771","4721",-1.952731,52.573009
"139","WSFF",10,3,"WSFF","Palfrey","Walsall Central","WSSF","Walsall","WS","Walsall","16532","5407",-1.978937,52.567109
"140","WSFG",9,3,"WSFG","Pleck","Walsall Central","WSSF","Walsall","WS","Walsall","15090","5427",-2.003965,52.578995
"141","WSGA",14,2,"WSGA","Aldridge Central and South","Walsall Outer","WSSG","Walsall","WS","Walsall","13935","6020",-1.915238,52.599585
"142","WSGB",13,2,"WSGB","Aldridge North and Walsall Wood","Walsall Outer","WSSG","Walsall","WS","Walsall","13207","5532",-1.924306,52.629228
"143","WSGC",11,1,"WSGC","Brownhills","Walsall Outer","WSSG","Walsall","WS","Walsall","12630","5157",-1.939658,52.648991
"144","WSGD",10,0,"WSGD","Pelsall","Walsall Outer","WSSG","Walsall","WS","Walsall","11430","4831",-1.969727,52.630636
"145","WSGE",13,3,"WSGE","Pheasey Park Farm","Walsall Outer","WSSG","Walsall","WS","Walsall","11245","4629",-1.921543,52.566949
"146","WSGF",12,2,"WSGF","Rushall Shelfield","Walsall Outer","WSSG","Walsall","WS","Walsall","12045","5069",-1.950193,52.611342
"147","WSGG",14,3,"WSGG","Streetly","Walsall Outer","WSSG","Walsall","WS","Walsall","13780","5641",-1.891697,52.577331
"148","WSGH",9,2,"WSGH","Bentley and Darlaston North","Walsall Outer","WSSG","Walsall","WS","Walsall","13748","5240",-2.025082,52.580521
"149","WSGJ",8,4,"WSGJ","Darlaston South","Walsall Outer","WSSG","Walsall","WS","Walsall","14078","5586",-2.044077,52.563845
"150","WSGK",8,2,"WSGK","Short Heath","Walsall Outer","WSSG","Walsall","WS","Walsall","11425","4828",-2.036998,52.599818
"151","WSGL",8,1,"WSGL","Willenhall North","Walsall Outer","WSSG","Walsall","WS","Walsall","12697","5080",-2.039974,52.612336
"152","WSGM",8,3,"WSGM","Willenhall South","Walsall Outer","WSSG","Walsall","WS","Walsall","15818","6414",-2.052848,52.585581
"153","WSHA",11,2,"WSHA","St Matthew's","Walsall St Matthew's","WSSH","Walsall","WS","Walsall","14917","6353",-1.968352,52.586653
"154","WVKA",4,3,"WVKA","Wolverhampton City Centre","Wolverhampton City Centre","WVSK","Wolverhampton","WV","Wolverhampton","892","400",-2.128409,52.585069
"155","WVLA",7,3,"WVLA","Bilston East","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13379","5671",-2.06806,52.560176
"156","WVLB",6,3,"WVLB","Bilston North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12101","4774",-2.075747,52.574755
"157","WVLC",3,4,"WVLC","Blakenhall","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12022","4109",-2.129013,52.566573
"158","WVLD",4,1,"WVLD","Bushbury North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11816","5039",-2.11932,52.627823
"159","WVLE",4,2,"WVLE","Bushbury South and Low Hill","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13280","4915",-2.118983,52.60747
"160","WVLF",5,3,"WVLF","East Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12523","5346",-2.095912,52.58294
"161","WVLG",5,4,"WVLG","Ettingshall","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13741","5362",-2.102723,52.567691
"162","WVLH",6,2,"WVLH","Fallings Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12639","4975",-2.097914,52.614449
"163","WVLJ",3,3,"WVLJ","Graiseley","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12284","5171",-2.146501,52.576244
"164","WVLK",5,2,"WVLK","Heath Town","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","15285","6638",-2.106055,52.595862
