"","region","gridX","gridY","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"70","DYGD",1,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGD","Cradley and Wollescote","Dudley East","DYSG","Dudley","DY","Dudley","13122","5274",-2.097909,52.455422
"71","DYGE",0,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGE","Gornal","Dudley East","DYSG","Dudley","DY","Dudley","13043","5731",-2.132291,52.520642
"72","DYGF",3,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGF","Halesowen North","Dudley East","DYSG","Dudley","DY","Dudley","12252","5158",-2.032031,52.466733
"73","DYGG",3,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGG","Halesowen South","Dudley East","DYSG","Dudley","DY","Dudley","12246","5134",-2.031285,52.44637
"74","DYGH",2,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGH","Hayley Green and Cradley South","Dudley East","DYSG","Dudley","DY","Dudley","11792","4875",-2.076282,52.442975
"75","DYGJ",2,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGJ","Netherton, Woodside and St Andrew's","Dudley East","DYSG","Dudley","DY","Dudley","14665","6041",-2.093121,52.492454
"76","DYGK",2,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGK","Quarry Bank and Dudley Wood","Dudley East","DYSG","Dudley","DY","Dudley","13765","5501",-2.095612,52.476004
"77","DYGL",1,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGL","Sedgley","Dudley East","DYSG","Dudley","DY","Dudley","11993","5043",-2.124442,52.544265
"78","DYGM",1,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGM","St James's","Dudley East","DYSG","Dudley","DY","Dudley","13580","5874",-2.106028,52.509904
"79","DYGN",2,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGN","St Thomas's","Dudley East","DYSG","Dudley","DY","Dudley","14453","5482",-2.0751,52.504356
"80","DYGP",1,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYGP","Upper Gornal and Woodsetton","Dudley East","DYSG","Dudley","DY","Dudley","13275","5436",-2.104986,52.532879
"81","DYHA",0,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHA","Amblecote","Dudley West","DYSH","Dudley","DY","Dudley","13341","5406",-2.136803,52.468605
"82","DYHB",1,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHB","Brierley Hill","Dudley West","DYSH","Dudley","DY","Dudley","14008","6112",-2.130302,52.479242
"83","DYHC",1,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHC","Brockmoor and Pensnett","Dudley West","DYSH","Dudley","DY","Dudley","12925","5252",-2.133892,52.49864
"84","DYHD",0,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHD","Kingswinford North and Wall Heath","Dudley West","DYSH","Dudley","DY","Dudley","12493","5214",-2.169953,52.504967
"85","DYHE",0,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHE","Kingswinford South","Dudley West","DYSH","Dudley","DY","Dudley","12697","5216",-2.162374,52.492193
"86","DYHF",1,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHF","Lye and Stourbridge North","Dudley West","DYSH","Dudley","DY","Dudley","12625","5270",-2.123658,52.459975
"87","DYHG",0,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHG","Norton","Dudley West","DYSH","Dudley","DY","Dudley","11841","5017",-2.157287,52.442003
"88","DYHH",1,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHH","Pedmore and Stourbridge East","Dudley West","DYSH","Dudley","DY","Dudley","12177","5145",-2.128582,52.441575
"89","DYHJ",0,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHJ","Wollaston and Stourbridge Town","Dudley West","DYSH","Dudley","DY","Dudley","13128","5838",-2.158513,52.459805
"90","DYHK",0,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"DYHK","Wordsley","Dudley West","DYSH","Dudley","DY","Dudley","12598","5228",-2.158421,52.4818
"91","SHAA",11,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAA","Bickenhill","Meriden","SHSA","Solihull","SH","Solihull","12342","5090",-1.717516,52.4289
"92","SHAB",11,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAB","Birmingham International Airport","Meriden","SHSA","Solihull","SH","Solihull","0","0",-1.745137,52.453083
"93","SHAC",8,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAC","Blythe","Meriden","SHSA","Solihull","SH","Solihull","13270","5454",-1.824392,52.380083
"94","SHAD",11,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAD","Castle Bromwich","Meriden","SHSA","Solihull","SH","Solihull","11217","4708",-1.773193,52.50673
"95","SHAE",12,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAE","Chelmsley Wood","Meriden","SHSA","Solihull","SH","Solihull","12553","5617",-1.732408,52.480306
"96","SHAF",10,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAF","Dorridge and Hockley Heath","Meriden","SHSA","Solihull","SH","Solihull","11357","4476",-1.768475,52.371006
"97","SHAH",12,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAH","Kingshurst and Fordbridge","Meriden","SHSA","Solihull","SH","Solihull","12682","5430",-1.751253,52.485085
"98","SHAJ",11,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAJ","Knowle","Meriden","SHSA","Solihull","SH","Solihull","10159","4264",-1.726605,52.38217
"99","SHAK",11,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAK","Meriden","Meriden","SHSA","Solihull","SH","Solihull","11795","4841",-1.644198,52.406114
"100","SHAL",11,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAL","NEC","Meriden","SHSA","Solihull","SH","Solihull","0","0",-1.719023,52.453587
"101","SHAM",12,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHAM","Smith's Wood","Meriden","SHSA","Solihull","SH","Solihull","12446","5195",-1.747966,52.501472
"102","SHBA",11,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHBA","Elmdon","Solihull","SHSB","Solihull","SH","Solihull","12079","5163",-1.76804,52.438973
"103","SHBB",10,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHBB","Lyndon","Solihull","SHSB","Solihull","SH","Solihull","13293","5511",-1.794056,52.445494
"104","SHBC",10,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHBC","Olton","Solihull","SHSB","Solihull","SH","Solihull","12679","5281",-1.808818,52.431156
"105","SHBD",9,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHBD","Shirley East","Solihull","SHSB","Solihull","SH","Solihull","11462","4591",-1.817922,52.412736
"106","SHBE",9,12,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHBE","Shirley South","Solihull","SHSB","Solihull","SH","Solihull","12410","5190",-1.81667,52.39875
"107","SHBF",8,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHBF","Shirley West","Solihull","SHSB","Solihull","SH","Solihull","11943","5038",-1.844054,52.408183
"108","SHBG",10,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHBG","Silhill","Solihull","SHSB","Solihull","SH","Solihull","12008","5083",-1.779074,52.422096
"109","SHBH",10,11,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SHBH","St Alphege","Solihull","SHSB","Solihull","SH","Solihull","12983","5125",-1.785057,52.406989
"110","SWAK",6,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAK","Charlemont with Grove Vale","Sandwell North","SWSA","Sandwell","SW","Sandwell","12134","5049",-1.969572,52.543855
"111","SWAL",5,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAL","Friar Park","Sandwell North","SWSA","Sandwell","SW","Sandwell","12542","4921",-1.993624,52.555263
"112","SWAM",7,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAM","Great Barr with Yew Tree","Sandwell North","SWSA","Sandwell","SW","Sandwell","12531","4911",-1.947343,52.553886
"113","SWAN",4,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAN","Great Bridge","Sandwell North","SWSA","Sandwell","SW","Sandwell","13152","5176",-2.039817,52.530785
"114","SWAP",5,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAP","Greets Green and Lyng","Sandwell North","SWSA","Sandwell","SW","Sandwell","11815","4472",-2.010157,52.517133
"115","SWAQ",5,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAQ","Hateley Heath","Sandwell North","SWSA","Sandwell","SW","Sandwell","14086","5347",-1.995874,52.537507
"116","SWAR",7,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAR","Newton","Sandwell North","SWSA","Sandwell","SW","Sandwell","11567","4755",-1.947034,52.537869
"117","SWAS",3,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAS","Princes End","Sandwell North","SWSA","Sandwell","SW","Sandwell","12846","5202",-2.057197,52.543846
"118","SWAT",3,6,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAT","Tipton Green","Sandwell North","SWSA","Sandwell","SW","Sandwell","12887","5160",-2.064933,52.527628
"119","SWAU",4,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAU","Wednesbury North","Sandwell North","SWSA","Sandwell","SW","Sandwell","12536","4834",-2.020641,52.558602
"120","SWAV",4,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAV","Wednesbury South","Sandwell North","SWSA","Sandwell","SW","Sandwell","12573","5037",-2.021084,52.541701
"121","SWAW",6,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWAW","West Bromwich Central","Sandwell North","SWSA","Sandwell","SW","Sandwell","13317","5366",-1.979891,52.521498
"122","SWBE",5,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBE","Abbey","Sandwell South","SWSB","Sandwell","SW","Sandwell","11752","5053",-1.978252,52.475067
"123","SWBF",3,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBF","Blackheath","Sandwell South","SWSB","Sandwell","SW","Sandwell","12324","5140",-2.042233,52.478432
"124","SWBG",4,9,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBG","Bristnall","Sandwell South","SWSB","Sandwell","SW","Sandwell","12122","4730",-1.998426,52.48274
"125","SWBH",2,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBH","Cradley Heath and Old Hill","Sandwell South","SWSB","Sandwell","SW","Sandwell","13362","5666",-2.07107,52.469874
"126","SWBJ",4,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBJ","Langley","Sandwell South","SWSB","Sandwell","SW","Sandwell","12615","5353",-2.021008,52.48699
"127","SWBK",4,10,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBK","Old Warley","Sandwell South","SWSB","Sandwell","SW","Sandwell","11814","4908",-2.002006,52.469643
"128","SWBL",4,7,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBL","Oldbury","Sandwell South","SWSB","Sandwell","SW","Sandwell","13618","5358",-2.027601,52.508115
"129","SWBM",3,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBM","Rowley","Sandwell South","SWSB","Sandwell","SW","Sandwell","12233","4921",-2.054691,52.489357
"130","SWBN",5,8,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"SWBN","Smethwick","Sandwell South","SWSB","Sandwell","SW","Sandwell","13670","5192",-1.979861,52.489311
